category,problem_statement,severity_signal,original_quote,chunk_id,start_time,end_time
E-commerce Development,Needs to find a Shopify developer for a client project.,Low,מחפשת מפתח Shopify שיכול לעשות איתי פרויקט ללקוח. אשמח להמלצות.,51,"12/12/24, 08:40","12/13/24, 12:37"
Logistics,Needs to find a shipping company capable of handling high-volume shipments.,Low,מחפש חברת משלוחים למשלוחים בנפח גבוה,51,"12/12/24, 08:40","12/13/24, 12:37"
Google Shopping,Products are not appearing in Google Shopping's free listings despite successful product upload and store connection.,High,העלתי את המוצרים חיברתי את החנות וזה עדיין לא מציק את המוצרים את החנות בשופינג בכרטיסיות החינמיות,51,"12/12/24, 08:40","12/13/24, 12:37"
E-commerce Operations,"Manual processes for managing Shopify store tasks (e.g., creating discounts, products, collections) are inefficient and require specific knowledge.",Medium,לפטר את העובדים שמתחזקים את החנות שלכם או לפחות לקצר להם כללללל כך הרבה תהליכי עבודה? שאם הם לא יודעים איך ליצור הנחה / מוצר חדש / קולקציה חדשה הם יכולים עכשיו פשוט לשאול את העוזר האישי והוא יפנה אותם למקום הנכון או ייצור את זה עבורם באמצעות AI?,51,"12/12/24, 08:40","12/13/24, 12:37"
Logistics,Past experiences with various shipping companies have been disappointing due to poor service.,Medium,אחרי כל החברות שיש בשוק שהיו אכזבה,51,"12/12/24, 08:40","12/13/24, 12:37"
Business Development,Needs assistance in reaching out to other businesses for collaborations and establishing a stable business foundation for an e-commerce store.,Low,הייתי רוצה מאוד להגיע לעסקים בשביל שיתופי פעולה ולייצר עוגן עסקי לחנות האם יש כאן בעלי ניסיון/קשרים שיכולים לעזור לי למנף את זה מול המגזר העסקי ?,51,"12/12/24, 08:40","12/13/24, 12:37"
Fraud,"Customers are engaging in fraudulent activities, such as changing delivery addresses and then claiming non-receipt to demand refunds, forcing businesses to prove delivery.",High,"היא מזמינה מוצרים, משנה כתובת מול השליח ולאחר מכן טוענת שלא קיבלה את ההזמנה ודורשת החזר כספי.",52,"12/13/24, 10:14","12/15/24, 15:26"
Fraud,"Merchants are experiencing attempted fraud where customers claim non-receipt of products, often using foreign credit cards and being unresponsive, requiring extensive proof of delivery.",High,הוא ביקש מחברת האשראי זיכוי מלא כי טען שלא קיבל את המוצר.,52,"12/13/24, 10:14","12/15/24, 15:26"
Payments,"Credit card companies tend to automatically refund customers in 'item not received' disputes, often without adequately considering the merchant's evidence, putting businesses at a disadvantage.",Medium,חברת האשראי מזכה מיד אם לקוח טוען שלא קיבל ולא איכפת לה מה יגיד העסק.,52,"12/13/24, 10:14","12/15/24, 15:26"
Customer Service,Resolving fraudulent claims is a long and difficult process due to persistent customers who refuse to concede.,Medium,אצלי זה היה תהליך ארוך. הלקוח לא הסכים לוותר,52,"12/13/24, 10:14","12/15/24, 15:26"
Fraud,There is an organized group of fraudsters ordering products to specific post office branches using stolen credit cards.,High,יש חבורת נוכלים בשכם שמזמינה לשם מוצרים בכרטיסי אשראי גנובים.,52,"12/13/24, 10:14","12/15/24, 15:26"
Website UX,"Website forms on mobile devices automatically zoom in on input fields and do not zoom out after input, negatively impacting the user experience and requiring manual zoom-out.",Medium,זה קצת מוריד מהחוויה כי אחרי שרושמים צריך לעשות זום אאוט כדי לראות הכל,52,"12/13/24, 10:14","12/15/24, 15:26"
Website UX,"The zoom-in issue on mobile forms persists even after filling out the field; the view does not return to normal, causing frustration.",Medium,כשמסיימים למלא זה נשאר בזום לא חוזר,52,"12/13/24, 10:14","12/15/24, 15:26"
Logistics,There is a recurring difficulty in finding a reliable shipping company that can handle high-volume or large-item deliveries.,High,מעלים את הנושא לדיון בקבוצה בערך פעם בשבוע...,52,"12/13/24, 10:14","12/15/24, 15:26"
Payments,"Merchants lack clear and timely notifications from payment or credit card companies regarding chargebacks or disputed transactions, leading to uncertainty about potential fraud.",Medium,איך אדע שמישהו שקיבל כבר חבילה לא פתאום הכחיש עסקה באשראי או משהו כזה,52,"12/13/24, 10:14","12/15/24, 15:26"
Logistics,"Current shipping company is causing significant operational problems, necessitating a search for a stable and reliable long-term solution for large/heavy shipments.",High,"כרגע יש לי בלגן לא קטן עם חברה מסוימת, ולכן אני רוצה למצוא פתרון טוב ויציב לטווח הארוך.",52,"12/13/24, 10:14","12/15/24, 15:26"
Website Migration,"Lack of clear guidance or best practices for migrating financial and marketing tracking (Google Ads, Analytics, Facebook Ads) when moving from an old e-commerce site to a new one.",Medium,"מה צריך להעביר לכל מה שקשור לממון מה אתם ממליצים ואיך לעשות גוגל אדס , לפתוח טאג חדש או להישאר עם הישן באנאליטיקס, פייסבוק ממומן וכו׳",52,"12/13/24, 10:14","12/15/24, 15:26"
Marketing,"Upcoming Meta (Facebook) restrictions will prevent the measurement of ad events for 'Health and Wellness' categories in Europe (no events) and the USA (no purchase/add to cart events), severely impacting advertising effectiveness and requiring new strategies.",High,"החל מינואר לא תוכלו למדוד איבנטים. באירופה אף איבנט לא יספר, ובארהב לא יספרו איבנטים של purchase & add to cart.",52,"12/13/24, 10:14","12/15/24, 15:26"
Integrations,Difficulty integrating the Rav Meser email marketing system with Shopify.,Low,מישהו יודע אם אפשר לחבר מערכת דיוור רב מסר לשופיפיי?,52,"12/13/24, 10:14","12/15/24, 15:26"
Email Marketing Tools,The Rav Meser email marketing system is not suitable for e-commerce needs.,Medium,כי זו לא מערכת שמתאימה לאיקומרס,52,"12/13/24, 10:14","12/15/24, 15:26"
E-commerce Platform / Integrations,A client's existing mailing system is not suitable for e-commerce integration and has broken functionality.,High,כי זו לא מערכת שמתאימה לאיקומרס,53,"12/15/24, 14:14","12/17/24, 09:37"
Website Performance / Image Optimization,"There is a need for an effective image optimization tool for a large WooCommerce site with 15,000 products.",Medium,"על איזה כלי/ תוסף אופטימיזציה לתמונות, הייתם ממליצים לאתר עם 15,000 מוצרים?",53,"12/15/24, 14:14","12/17/24, 09:37"
Website Performance / Image Optimization,"Concerns exist about using bulk image compression tools due to the risk of deleting original files, the necessity of a full site backup, and the potential for a long process that impacts site performance.",Medium,"אבל לגבי דחיסה גורפת לתמונות קיימות, אני מהססת כי : * התוסף דוחס ומוחק את המקור * הבנתי שכדאי לבצע גיבוי לפני כן לכל האתר ולעקוב אחרי זה * התהליך יתפרס על כמה ימים ויפגע קצת בביצועים",53,"12/15/24, 14:14","12/17/24, 09:37"
E-commerce Platform / Multi-store Management,"Difficulty managing two parallel Shopify stores (e.g., for different languages/currencies) due to product ID differences, SKU limitations (only for variants), and general challenges in synchronizing and controlling identical products across separate stores.",High,השאלה שלי אם מישהו עובד בשיטה זו ואיך מנהלים את שתי החנויות במקביל? הרי המוצרים כביכול זהים אבל שונים. ה id של המוצר כמובן שונה.... sku אפשר להגדיר רק לווריאנט ולא למוצר וזה מגביל ביכולות השליטה על המוצר..,53,"12/15/24, 14:14","12/17/24, 09:37"
E-commerce Platform / Multi-store Management,"A solution is needed to link products between two separate Shopify stores, even when managed independently.",High,השאלה היא איך לקשר בין המוצרים בשתי החנויות....,53,"12/15/24, 14:14","12/17/24, 09:37"
Logistics / Shipping,"Inability to find a reliable shipping company for mattresses, having experienced disappointment with multiple providers over several years.",High,"אני שנים מחפשת חברת משלוחים למזרונים שאני מייצרת והחלפתי כבר 5 חברות , כולן איכזבו",53,"12/15/24, 14:14","12/17/24, 09:37"
Community Management,Users are violating group rules by engaging in promotional activities and directing members to other WhatsApp groups.,Medium,לא ניתן *לעשות קידום מכירות* ובטח שלא *להפנות לקבוצות וואטסאפ אחרות*,53,"12/15/24, 14:14","12/17/24, 09:37"
Marketing / Legal Compliance,"It is unclear whether it is permissible to send SMS messages (e.g., purchase confirmations, promotions) to telemarketing customers who have not explicitly opted-in for marketing communications.",Medium,"לא שאלתי את זה, שאלתי אם אתם עושים את זה למרות שלא אישרו שליחת דיוורים כמו בקלאסי של פופאפ או בפוטר של האתר",53,"12/15/24, 14:14","12/17/24, 09:37"
Marketing / Legal Compliance,It is forbidden by law in Israel to send marketing messages to individuals who have not given explicit consent.,High,אסור לשלוח הודעות בארץ למי שלא אישר,53,"12/15/24, 14:14","12/17/24, 09:37"
Marketing / Lead Conversion,There is difficulty in converting telemarketing customers into opted-in subscribers for ongoing marketing communications.,Medium,אז איך אתה ממיר לקוחות טלמרקטינג למאושרי דיוור?,53,"12/15/24, 14:14","12/17/24, 09:37"
Inventory Management / Integrations,There is a need for a software or system capable of integrating and managing both online and physical inventory simultaneously.,High,האם יש איזשהי תוכנה או מערכת שיודעת להתממשק עם הניהול מלאי באתר ופיזי ביחד?,53,"12/15/24, 14:14","12/17/24, 09:37"
Inventory Management / Integrations,"Current accounting/ERP systems (e.g., Rivhit) do not provide integrated management for online and physical inventory.",Medium,ריווחית וכל אלה הבנתי שלא יודעות,53,"12/15/24, 14:14","12/17/24, 09:37"
ERP / Integrations,"Integrating Shopify with Priority ERP currently necessitates custom development, which is complex and costly.",Medium,היום נדרש פיתוח מותאם אישית,53,"12/15/24, 14:14","12/17/24, 09:37"
ERP / Integrations,"Significant problems are encountered with current custom integrations, particularly for ERP systems like Priority.",High,יש מלא בעיות בחיבור המותאם אישית לפחות לי באופן אישי,53,"12/15/24, 14:14","12/17/24, 09:37"
ERP / Cost,High ongoing costs are associated with Priority ERP and the additional expenses of custom development for integrations.,Medium,צריך לקחת בחשבון את עלויות פריוריטי בשוטף ובפיתוח מותאם אישית,53,"12/15/24, 14:14","12/17/24, 09:37"
Accounting/Finance,Difficulty finding a recommended accounting system that integrates with e-commerce platforms like WordPress.,Low,איזה מערכת חשבונאות מומלצת יש?,54,"12/17/24, 08:52","12/17/24, 15:35"
Sales Performance,Experiencing a sharp and unusually severe decline in sales performance compared to previous years.,High,משהו מרגיש ירידה חדה בחודש האחרון? בצורה יותר חמורה מהשנים הקודמות?,54,"12/17/24, 08:52","12/17/24, 15:35"
Marketing Performance,Lack of marketing exposure leads to poor results and wasted advertising budget.,High,כן אין חשיפה צרצרים כסף בפח,54,"12/17/24, 08:52","12/17/24, 15:35"
Creative Services,"Difficulty finding designers for website banners and video editing services (e.g., adding music, text to raw footage).",Low,אשמח אם למישהו יש מעצבים לבאנרים לאתר ומעצבים לסרטונים עריכה של הסרטונים הגולמיים להוסיף מוזיקה טקסט וכו,54,"12/17/24, 08:52","12/17/24, 15:35"
Marketing Performance,Experiencing a decline in orders despite running paid marketing campaigns.,Medium,מי עושה ממומן ומרגיש ירידה בהזמנות?,54,"12/17/24, 08:52","12/17/24, 15:35"
Legal/Website Compliance,Unclear about legal requirements for website accessibility and the associated costs for compliance solutions.,Low,"האם חייב להנגיש את האתר? ואם כן, כמה זה אמור לעלות כתוסף?",54,"12/17/24, 08:52","12/17/24, 15:35"
Legal/Website Compliance,"Standard website accessibility plugins are insufficient to meet full legal compliance, exposing businesses to potential lawsuits.",Medium,תוסף לא מכסה 100% מהחוק ולכן עדיין יש חשיפה לתביעה,54,"12/17/24, 08:52","12/17/24, 15:35"
Legal/Operational Costs,"The cost of a lawyer's letter to address legal threats (e.g., spam complaints) is high, potentially comparable to the demanded settlement amount.",Medium,מכתב מעורך דין יעלה אותו סכום שדורשים,54,"12/17/24, 08:52","12/17/24, 15:35"
Marketing/Affiliate Programs,Difficulty finding a suitable affiliate marketing platform in Israel.,Low,יש בארץ פלטפורמה לתוכניות שותפים/אפיליאייטים שמישהו עובד איתה?,54,"12/17/24, 08:52","12/17/24, 15:35"
Marketing/Affiliate Programs,"Affiliate marketing platforms have generally failed to gain traction in Israel, and even marketplace models face significant challenges.",Medium,התחום הזה לא ממש הצליח להתרומם בארץ,54,"12/17/24, 08:52","12/17/24, 15:35"
Customer Service/Email Marketing,"Customers frequently claim to have unsubscribed from email lists but still receive messages, leading to disputes despite system logs showing otherwise.",Medium,אני נתקלת דרך הלקוחות שלי עם לקוחות שטוענים שהם הסירו את עצמם ואחכ קיבלו מייל.,54,"12/17/24, 08:52","12/17/24, 15:35"
Creative Services,"Difficulty finding a photographer for specific concept and product photography (e.g., children's clothing).",Low,מחפש צלם ליום צילום קונספט/בגדי ילדים,54,"12/17/24, 08:52","12/17/24, 15:35"
Customer Service/Email Marketing,"Customers register with multiple email addresses, unsubscribe from only one, and then complain about receiving emails to the other, sometimes escalating to legal threats.",Medium,מצאנו שהוא נרשם משתי מיילים שונים. הוא הסיר את אחד המיילים לשם כמובן הפסיק לקבל הודעות אך המייל השני נשאר ברשימת התפוצה... הוא מצידו ניסה להפעיל לחץ ולאיים במכתבי התראה לפני הליכים משפטיים,54,"12/17/24, 08:52","12/17/24, 15:35"
Email Marketing/CRM,"Email marketing platforms lack the ability to link multiple user accounts belonging to the same individual (e.g., different email addresses), complicating unsubscribe management and leading to customer complaints.",Medium,העיינין שהוא נרשם עם שתי יוזרים שונים שלא משוייכים אחד לשני גם פלאשי לא יכולים לקשר בינהם...,54,"12/17/24, 08:52","12/17/24, 15:35"
Customer Data Management,"Difficulty in managing customer data when a customer uses multiple email addresses and phone numbers, leading to confusion and complaints about unwanted communications.",Medium,במכתב התראה הוא התלונן גם על מייל וגם על SMS ובנספח הוא צירף צילום מסך של המייל אבל לא היה אפשר לראות את הכתובת של המייל. ... העיינין שהוא נרשם עם שתי יוזרים שונים שלא משוייכים אחד לשני גם פלאשי לא יכולים לקשר בינהם... שתי כתובות מייל שונות כשאחת מהן משוייכת גם למספר טלפון... ועשה סלט במכתב התראה שלו....,55,"12/17/24, 14:34","12/18/24, 07:31"
Fraud Prevention,"Difficulty in linking multiple customer profiles (email/phone) that are not automatically associated, making it hard to manage communication preferences and prevent abuse of promotions.",Medium,העיינין שהוא נרשם עם שתי יוזרים שונים שלא משוייכים אחד לשני גם פלאשי לא יכולים לקשר בינהם... שתי כתובות מייל שונות כשאחת מהן משוייכת גם למספר טלפון... לדעתי הוא התכוון להשתמש פעמיים בהנחה להרשמת מועדון לקוחות...,55,"12/17/24, 14:34","12/18/24, 07:31"
Fraud Prevention,"Frustration with customers who attempt to exploit system loopholes or promotions, leading to a desire for legal recourse.",High,צריך לתבוע חזרה כאלה על נוכלות,55,"12/17/24, 14:34","12/18/24, 07:31"
Marketing Analytics,"Closed marketing systems lack comprehensive user ID tracking and conversion value attribution across different channels (email, WhatsApp, phone, messenger), preventing effective campaign optimization due to data silos and lack of data feedback to marketing platforms.",High,"במערכת סגורה אין לך user id או ערך המרה לכל הפלואו של היוזר. ... המערכות הסגורות שאלוהים יודע למה בנו אותם ככה, לא מחזירות את הדאטא חזרה, ואז הקמפיינים לא יודעים מה נעשה בחנות, ואז אתה סוג של יורה באוויר...",55,"12/17/24, 14:34","12/18/24, 07:31"
Marketing Analytics,"E-commerce store owners are often unaware of the critical problem of data silos in closed marketing systems, which severely impacts their ability to optimize campaigns and understand customer journeys.",High,זו הבעיה הכי כואבת שקיימת לכל בעל חנות איקומרס שלא מוכר בעיקר ישירות ורובם לא יודעים את זה!!!,55,"12/17/24, 14:34","12/18/24, 07:31"
Tool Complaint,Specific complaint about 'Linnet' (לינט) as a 'closed system' that does not provide necessary data feedback for marketing optimization.,High,והשם של הנבלות האלה,55,"12/17/24, 14:34","12/18/24, 07:31"
Customer Service,"Poor customer service from providers of 'closed systems,' making it difficult to resolve issues or explain needs.",Medium,וגם שירות לקוחות שבהצלחה להסביר להם,55,"12/17/24, 14:34","12/18/24, 07:31"
Tool Complaint,"Many e-commerce stores continue to use outdated and irrelevant 'closed systems' that do not meet their actual business needs, hindering their growth.",Medium,"אלו מערכות שלא מבינות את הצרכים האמיתיים של חנויות והן ייכחדו בקרוב כי הן כבר לא רלוונטיות, למרות שאני רואה שנשארים שנים עם אותן מערכות חלודות",55,"12/17/24, 14:34","12/18/24, 07:31"
Data Management,"A fundamental requirement for any system is easy and convenient access to all data, as the data belongs to the business.",Medium,"הדרישה הראשונה שלי בכל מערכת, לא משנה לאיזה מחלקה אצלנו, זה גישה *קלה* ונוחה לכל הנתונים *כי הם שלי*.",55,"12/17/24, 14:34","12/18/24, 07:31"
Business Growth,"Businesses are hitting a 'glass ceiling' in growth because closed systems prevent them from having a clear understanding of their sales data and customer journey, especially for sales originating from phone or WhatsApp, making campaign optimization impossible.",High,"הם תקועים בתקרת זכוכית בגלל שאין דאטא ורוב העסקאות שלהם מהטלפון והוואטסאפ וגם אם לא זו הסיבה, אין לאף חנות עומדן על מה נעשה באמת ומאיפה ובטח ובטח לא לקמפיינים אם אין דאטא שחוזרת חזרה לקמפיינים",55,"12/17/24, 14:34","12/18/24, 07:31"
Data Management,Any system that does not return data that rightfully belongs to the store is a serious problem.,High,כל מה שלא מחזיר תמידע ששייך בלאו הכי לחנות זו בעיה רצינית,55,"12/17/24, 14:34","12/18/24, 07:31"
Order Management,"Basic order management features in WooCommerce may not be sufficient, leading to a need for more advanced order management systems.",Low,אתם יכולים להרחיב מה הערך שיש במערכת ניהול הזמנות מעבר לניהול ההזמנות הבסיסי שיש בווקומרס?,55,"12/17/24, 14:34","12/18/24, 07:31"
Logistics,"Anxiety and stress related to package deliveries, which is alleviated by good communication from the shipping company (implying that lack of communication is a problem).",Medium,זה מוריד לי מפלס החרדה גם ככה יש מלא חרדה במדינה הזו,55,"12/17/24, 14:34","12/18/24, 07:31"
Logistics,"Issues arise when customers fail to pick up orders from collection points within the allotted time, leading to questions about who bears the cost of returns and re-shipping, and potential disputes with customers.",High,"משלוחים לנקודת איסוף, מה קורה עם הלקוח לא בא לאסוף...הם לא מחזיקים סחורה יותר מ 5 ימים...מה קורה אח""כ? מי מחזיר, מי משלם על ההחזרה ועל משלוח נוסף אם הלקוח נזכר בהזמנה? האם זה יוצר מריבות עם לקוחות?",55,"12/17/24, 14:34","12/18/24, 07:31"
Customer Service,"Frequent disputes with customers regarding returned packages due to non-pickup, requiring clear terms and conditions to ensure customers pay for return shipping.",Medium,חברת המשלוחים מחייבת אותך בהחזרה. ... לא מעט פעמים יש לי דין ודברים עם לקוחות,55,"12/17/24, 14:34","12/18/24, 07:31"
Customer Communication,"Customers frequently claim they did not receive pickup notifications, leading to uncollected packages and disputes, despite shipping companies confirming messages were sent. This necessitates manual daily checks and re-sending notifications.",High,אני נתקלת בבעיה שהלקוחות תמיד אומרים שלא קיבלו את ההודעה ולכן לא הלכו לקחת ואז בשיחה עם החברה הם מראים את ההודעות שנשלחו ושהלקוח טוען שלא קיבל.,55,"12/17/24, 14:34","12/18/24, 07:31"
Logistics,"Customers failing to collect orders from pickup points within the allotted time results in returned shipments, incurring additional costs for return shipping and potential re-delivery, and often leads to disputes with customers.",High,"משלוחים לנקודת איסוף, מה קורה עם הלקוח לא בא לאסוף...הם לא מחזיקים סחורה יותר מ 5 ימים...מה קורה אח""כ? מי מחזיר, מי משלם על ההחזרה ועל משלוח נוסף אם הלקוח נזכר בהזמנה? האם זה יוצר מריבות עם לקוחות?",56,"12/17/24, 22:20","12/18/24, 13:59"
Returns,"Shipping companies charge for returned packages when customers fail to pick them up, leading to frequent arguments and negotiations with customers regarding payment for return shipping.",High,חברת המשלוחים מחייבת אותך בהחזרה. לא מעט פעמים יש לי דין ודברים עם לקוחות,56,"12/17/24, 22:20","12/18/24, 13:59"
Customer Service,"Customers frequently claim they did not receive notifications for package pickup, resulting in uncollected orders and returns, forcing store managers to manually check shipping company websites daily for delays and send additional reminders.",High,אני נתקלת בבעיה שהלקוחות תמיד אומרים שלא קיבלו את ההודעה ולכן לא הלכו לקחת ואז בשיחה עם החברה הם מראים את ההודעות שנשלחו ושהלקוח טוען שלא קיבל.,56,"12/17/24, 22:20","12/18/24, 13:59"
Inventory Management,"A significant number of products are frequently out of stock, sometimes exceeding the number of available items, raising concerns about how to manage these product pages without negatively impacting organic search rankings if they are removed.",Medium,"מה אתם עושים כשכמות המוצרים שאזלו במלאי גדלה? לפעמים בכמות שעולה על אלה שכן במלאי, האם הורדת מוצרים שאזלו במלאי פוגעת בקידום?",56,"12/17/24, 22:20","12/18/24, 13:59"
Order Management,"There is no single system to consolidate and manage orders received both through the e-commerce website and manually, leading to synchronization problems and challenges in maintaining accurate delivery timelines.",High,"אם יש לי הזמנות של לקוחות דרך האתר וגם דרכי באופן אישי שזה לא מסונכרן עם האתר, האם יש איזו מערכת שיכולה להכיל הכל? שאליה עוברות ההזמנות של האתר ושם אני יכולה לעדכן הזמנות שאני מקבלת במקביל? חשוב לי שזה יהיה לפי הסדר בזמנים כי יש זמני אספקה..",56,"12/17/24, 22:20","12/18/24, 13:59"
Platform Costs,"Shopify charges a commission on all orders processed through its platform, which adds to operational costs.",Low,חשוב לדעת שעל כל ההזמנות שיופיעו בשופפיי תיגבה עמלה,56,"12/17/24, 22:20","12/18/24, 13:59"
Operations,The complexity of managing orders from both the website and manual channels is so significant that it led to the decision to stop accepting manual orders altogether.,High,"מניסיון , אני הפסקתי לקבל כאלה הזמנות בגלל המורכבות של לנהל את זה",56,"12/17/24, 22:20","12/18/24, 13:59"
Marketing,"There is a sharp decline in advertising reach and exposure, leading to fewer leads and purchases.",High,מה אתם עושים בתקופה שיש ירידה חדה בפרסום ובחשיפה?,56,"12/17/24, 22:20","12/18/24, 13:59"
Marketing,"Campaigns for nutrition supplements have recently experienced a decline in exposure, leads, and purchases, particularly affecting engagement and lead generation campaigns.",High,מרגיש שבשבוע שבועיים האחרונים פחות חשיפות פחות לידים וגם פחות רכישות אבל אותי בעיקר מעניין הקמפיין מעורבות/לידים,56,"12/17/24, 22:20","12/18/24, 13:59"
Payments,"There is a significant risk of fraudulent bank transfers, where customers provide fake payment confirmations for large orders, leading to potential financial loss if products are shipped before actual payment is verified.",High,"מפחד שההעברה תהיה פיקטיבית, כבר קרו לי מקרים כאלה בעבר שזייפו אסמכתא ולא באמת עבר הכסף",56,"12/17/24, 22:20","12/18/24, 13:59"
Promotions,"Gift cards purchased with a discount code can result in double discounting if the recipient also applies a discount code during redemption, leading to unintended financial losses for the business.",High,מי שרכשה אותו השתמשה בקוד קופון ואז קיבלה 400 ש״ח באתר ושילמה 360 ואז אם מי שגם תממש אותו תשתמש בקוד קופון זה בעצם כפל וזה דופק אותי קצת,56,"12/17/24, 22:20","12/18/24, 13:59"
Payments,Payment collection is not working on the e-commerce platform.,High,הגביית תשלום לא עובד,57,"12/18/24, 13:40","12/19/24, 10:36"
Marketing Automation,Difficulty setting up WhatsApp automation for abandoned carts using Make.com.,Medium,מישהוא יודע לעשות אוטומציה בmake שישלח ללקוח הודעת ווצאפ בנטישת עגלה?,57,"12/18/24, 13:40","12/19/24, 10:36"
Promotions,Experiencing financial loss due to double discounting when customers use a coupon to purchase a gift card and then use another coupon when redeeming the gift card.,High,מי שרכשה אותו השתמשה בקוד קופון ואז קיבלה 400 ש״ח באתר ושילמה 360 ואז אם מי שגם תממש אותו תשתמש בקוד קופון זה בעצם כפל וזה דופק אותי קצת,57,"12/18/24, 13:40","12/19/24, 10:36"
Promotions,"Unable to prevent double discounting on gift card redemptions, especially after a sale has already occurred with this issue.",High,זהו באסה במקרה הזה כבר רכשה אז זה מאוחר מידי... יש אפשרות שבתשלום עם גיפט קארד לא יהיה כפל מהצד של המממש?,57,"12/18/24, 13:40","12/19/24, 10:36"
Marketing Services,Seeking recommendations for a photographer specializing in lifestyle photography for cosmetic products.,Low,אשמח להמלצה על צלם/ת שמתמחים בצילומי אווירה למוצרי קוסמטיקה.,57,"12/18/24, 13:40","12/19/24, 10:36"
Security,"Received a suspicious copyright infringement email with an unavailable contact number, raising concerns about a potential scam.",Medium,אם מישהו קיבל מייל על הפרת זכויות יוצרים מחברת ANMC... הטלפון שכתוב שם לא זמין. לא לפתוח.,57,"12/18/24, 13:40","12/19/24, 10:36"
Website / SEO,"Hebrew characters in URLs result in long, 'ugly' encoded links, which negatively impacts user experience and trust.",Medium,אם רושמים בעברית זה עושה קישור ארוך כזה מכוער,57,"12/18/24, 13:40","12/19/24, 10:36"
SEO,Using product SKUs in URLs for cleaner links is considered less optimal for SEO.,Medium,אני רושם את המקט. פחות טוב מבחינת SEO,57,"12/18/24, 13:40","12/19/24, 10:36"
SEO Tools,"The Yoast SEO plugin constantly recommends including keywords in the URL, which conflicts with the practice of using English for cleaner URLs when the product name is in Hebrew.",Medium,אבל התוסף של yoast רושם לי כל הזמן לרשום את המילת מפתח חח,57,"12/18/24, 13:40","12/19/24, 10:36"
User Experience,Customers are hesitant to click on encoded or 'ugly' Hebrew links when they are shared.,High,"אבל כאשר משתפים, כאמור לקוחות נרתעים מלחוץ",57,"12/18/24, 13:40","12/19/24, 10:36"
